Messages;Value;Err
0;0.003;-3.1051550219984846E-19
10;0.006;-3.5214886562329186E-19
100;0.002;-4.336808689942018E-20
1000;0.01;-3.5561831257524543E-19
10000;2.134;1.0258460747536447E-16
100000;22.561;5.684341886080802E-17
1000000;192.387;-4.547473508864641E-16
10000000;4829.329;2.764863893389702E-13
