NumNodes;Value;Err
2;2344.036;205257.32470399927
4;3523.483;553989.0457109981
8;4985.135;1044121.9207749977
16;5562.03;2054830.7351000041
26;6279.591591591591;2064668.9843537312
32;7816.428282828283;3219392.517583915
40;8066.375;5816029.768375
